Team,vsaf,vsbf
Atlanta Hawks,0.5,0.52
Boston Celtics,0.7037037037037037,0.6956521739130435
Brooklyn Nets,0.5,0.6923076923076923
Charlotte Hornets,0.23333333333333334,0.35
Chicago Bulls,0.4666666666666667,0.4444444444444444
Cleveland Cavaliers,0.48148148148148145,0.7391304347826086
Dallas Mavericks,0.5185185185185185,0.5217391304347826
Denver Nuggets,0.6086956521739131,0.7692307692307693
Detroit Pistons,0.22857142857142856,0.3333333333333333
Golden State Warriors,0.4444444444444444,0.5714285714285714
Houston Rockets,0.21212121212121213,0.25
Indiana Pacers,0.36666666666666664,0.65
Los Angeles Clippers,0.2608695652173913,0.75
Los Angeles Lakers,0.3333333333333333,0.6842105263157895
Memphis Grizzlies,0.5555555555555556,0.7619047619047619
Miami Heat,0.56,0.5416666666666666
Milwaukee Bucks,0.6296296296296297,0.6666666666666666
Minnesota Timberwolves,0.43478260869565216,0.5555555555555556
New Orleans Pelicans,0.4074074074074074,0.6818181818181818
New York Knicks,0.4,0.68
Oklahoma City Thunder,0.36363636363636365,0.7333333333333333
Orlando Magic,0.37037037037037035,0.42857142857142855
Philadelphia 76ers,0.6190476190476191,0.6923076923076923
Phoenix Suns,0.4838709677419355,0.5263157894736842
Portland Trail Blazers,0.39285714285714285,0.6
Sacramento Kings,0.375,0.782608695652174
San Antonio Spurs,0.25806451612903225,0.3333333333333333
Toronto Raptors,0.38235294117647056,0.6
Utah Jazz,0.45454545454545453,0.5555555555555556
Washington Wizards,0.41379310344827586,0.5263157894736842
