Player,Team,Position,Injury,Status
Steven Adams,MEM,C,Knee,Out
Giannis Antetokounmpo,MIL,F,Knee,Game Time Decision
Ibou Badji,POR,C,Knee,Game Time Decision
Marvin Bagley,DET,C,Hand,Out
Lonzo Ball,CHI,G,Knee,Out
Desmond Bane,MEM,G,Knee,Game Time Decision
Dalano Banton,TOR,G,Hip,Game Time Decision
MarJon Beauchamp,MIL,F,Knee,Game Time Decision
Devin Booker,PHX,G,Groin,Out
Kentavious Caldwell-Pope,DEN,G,Wrist,Game Time Decision
Jae Crowder,PHX,F,Not Injury Related,Out
Cade Cunningham,DET,G,Lower Leg,Out For Season
Seth Curry,BKN,G,Knee,Game Time Decision
Dyson Daniels,NOP,G,Ankle,Out
Luka Doncic,DAL,G,Ankle,Game Time Decision
Luguentz Dort,OKC,F,Hamstring,Out
Goran Dragic,CHI,G,Illness,Game Time Decision
Kevin Durant,BKN,F,Knee,Out
Evan Fournier,NYK,G,Personal,Game Time Decision
Danilo Gallinari,BOS,F,Knee,Out
Collin Gillespie,DEN,G,Lower Leg,Game Time Decision
Rudy Gobert,MIN,C,Groin,Game Time Decision
Eric Gordon,HOU,G,Knee,Game Time Decision
Javonte Green,CHI,F,Knee,Out
AJ Green,MIL,G,Ankle,Game Time Decision
Danny Green,MEM,G,Knee,Out
Tyrese Haliburton,IND,G,Knee,Out
Kevon Harris,ORL,G,Face,Game Time Decision
Josh Hart,POR,F,Hamstring,Game Time Decision
Haywood Highsmith,MIA,F,Lower Leg,Game Time Decision
Chet Holmgren,OKC,F,Foot,Out For Season
De'Andre Hunter,ATL,F,Illness,Game Time Decision
Serge Ibaka,MIL,C,Personal,Out
Andre Iguodala,GSW,F,Hip,Game Time Decision
Jonathan Isaac,ORL,F,Knee,Out
Nikola Jokic,DEN,C,Hamstring,Game Time Decision
Cory Joseph,DET,G,Back,Game Time Decision
Nikola Jovic,MIA,F,Back,Out
Maxi Kleber,DAL,F,Hamstring,Out
John Konchar,MEM,G,Concussion,Out
Furkan Korkmaz,PHI,G,Shoulder,Game Time Decision
Romeo Langford,SAS,F,Hip,Game Time Decision
E.J. Liddell,NOP,F,Knee,Out
Kevin Love,CLE,F,Back,Game Time Decision
Cody Martin,CHA,G,Knee,Game Time Decision
Caleb Martin,MIA,F,Quadriceps,Game Time Decision
Jordan McLaughlin,MIN,G,Calf,Out
Donovan Mitchell,CLE,G,Groin,Game Time Decision
Marcus Morris,LAC,F,Ribs,Game Time Decision
Monte Morris,WAS,G,Hamstring,Game Time Decision
Jamal Murray,DEN,G,Knee,Game Time Decision
Andrew Nembhard,IND,G,Illness,Game Time Decision
Aaron Nesmith,IND,F,Wrist,Game Time Decision
Jusuf Nurkic,POR,C,Calf,Game Time Decision
Chuma Okeke,ORL,F,Knee,Out
Kelly Olynyk,UTA,C,Ankle,Game Time Decision
Kelly Oubre,CHA,F,Hand,Out
Cameron Payne,PHX,G,Foot,Out
Aleksej Pokusevski,OKC,F,Lower Leg,Out
Michael Porter,DEN,F,Personal,Game Time Decision
Kevin Porter,HOU,G,Foot,Game Time Decision
Otto Porter,TOR,F,Foot,Out For Season
Bobby Portis,MIL,F,Knee,Out
Kristaps Porzingis,WAS,F,Ankle,Out
Micah Potter,UTA,C,Elbow,Out
Taurean Prince,MIN,F,Ankle,Out
Austin Reaves,LAL,G,Hamstring,Game Time Decision
Josh Richardson,SAS,G,Knee,Game Time Decision
Duncan Robinson,MIA,F,Finger,Out
Mitchell Robinson,NYK,C,Thumb,Out
Jeremiah Robinson-Earl,OKC,C,Ankle,Out
Landry Shamet,PHX,G,Foot,Game Time Decision
Day'Ron Sharpe,BKN,C,Back,Game Time Decision
Ben Simmons,BKN,F,Knee,Game Time Decision
Marcus Smart,BOS,G,Ankle,Out
Jeremy Sochan,SAS,F,Quadriceps,Game Time Decision
Jaden Springer,PHI,G,Illness,Game Time Decision
Max Strus,MIA,F,Shoulder,Game Time Decision
Jae'Sean Tate,HOU,F,Ankle,Game Time Decision
Daniel Theis,IND,C,Knee,Out
Karl-Anthony Towns,MIN,C,Calf,Out
Myles Turner,IND,C,Ankle,Game Time Decision
Devin Vassell,SAS,F,Knee,Out
Lonnie Walker,LAL,G,Knee,Game Time Decision
John Wall,LAC,G,Abdomen,Out
T.J. Warren,BKN,F,Knee,Game Time Decision
Jack White,DEN,F,Thigh,Game Time Decision
Andrew Wiggins,GSW,F,Illness,Game Time Decision
Zion Williamson,NOP,F,Hamstring,Out
Dylan Windler,CLE,G,Hamstring,Out
Justise Winslow,POR,F,Ankle,Game Time Decision
Christian Wood,DAL,C,Thumb,Out
Omer Yurtseven,MIA,C,Ankle,Out
